id,name,age,address,phone
68,Руслан Лазарев,34,ул. Филевская М. 372,+7-938-925-4722
69,Пётр Скоренко,23,ул. Старокаширское 959,+7-939-316-7218
70,Арсений Макаренко,48,ул. Нижняя 844,+7-917-103-4525
71,Лев Пишенко,18,ул. Педагогическая 1312,+7-965-894-1674
72,Лука Афремов,57,Аллея Курьяновская 4-я 317,+7-932-787-0795
73,Хрисанф Литаврин,38,ул. Щербаковская 1127,+7-983-036-2723
74,Авдей Рожков,63,ул. Синявинская 701,+7-991-316-7295
75,Ким Кривцов,21,Аллея Трехгорный Ср. 352,+7-993-394-3473
76,Серафим Пьянов,37,ул. Винницкая 168,+7-995-763-2520
77,Архипп Блохин,41,Аллея Городская 607,+7-902-328-0902
78,Денис Марков,19,Аллея Пестовская 68,+7-976-565-3416
79,Альвиан Гаммер,24,ул. Балтийская 313,+7-916-734-1617
80,Лев Немчинов,45,Аллея Мишина 1237,+7-928-556-9821
81,Альберт Корявин,33,ул. Вертолетчиков 559,+7-972-114-6482
82,Тихон Лощиц,51,ул. Соймоновская 229,+7-960-815-1546
83,Авдей Варченко,48,Аллея Маршала Голованова 478,+7-968-376-3253
84,Кирилл Юрский,41,ул. Розанова 694,+7-948-563-3830
85,Иван Михальченко,42,ул. Федоскинская 188,+7-943-332-0777
86,Константин Титов,33,ул. Мясницкая 1039,+7-926-333-0472
87,Гордей Скапидаров,54,ул. Вяземская 1186,+7-914-933-5584
88,Трофим Арефьев,39,Аллея Ватин Б. 807,+7-928-700-1038
89,Куприян Давыдов,48,ул. Измайловского Зверинца 1087,+7-983-217-9300
90,Лаврентий Байбородин,57,Аллея Джавахарлала Неру 1001,+7-946-647-3541
91,Федот Машкин,57,ул. Производственная 119,+7-919-139-7339
92,Федосей Вакулин,43,Аллея Колымажная 549,+7-986-660-1370
93,Мирон Нехлюдов,35,Аллея Лесные Пруды 1172,+7-960-932-3913
94,Николай Казакевич,37,ул. Алабушевская 760,+7-948-754-6688
95,Даниил Назарьев,65,Аллея Летниковская 964,+7-933-952-0117
96,Варлам Пушкин,65,Аллея Крупской 591,+7-966-352-4618
97,Олег Веденский,41,ул. Бартеневская 1387,+7-913-299-5879
98,Харитон Беляев,58,Аллея Карачаровское 507,+7-991-358-0566
99,Федосей Бессараб,49,ул. Академическая 1226,+7-935-169-5167
